taxiid,timestamp,lat,log
6785,2008-02-07 13:23:14,116.46098,39.93273
6785,2008-02-07 13:24:02,116.46308,39.93208
6785,2008-02-07 13:24:25,116.46688,39.93262
6785,2008-02-07 13:24:28,116.46698,39.93277
6785,2008-02-07 13:24:31,116.46727,39.93317
6785,2008-02-07 13:24:34,116.46725,39.93308
6785,2008-02-07 13:26:47,116.46872,39.9363
6785,2008-02-07 13:27:02,116.46872,39.93628
6785,2008-02-07 13:27:18,116.46663,39.93383
6785,2008-02-07 13:27:28,116.46637,39.93292
6785,2008-02-07 13:27:32,116.46635,39.93265
6785,2008-02-07 13:27:35,116.46615,39.93253
6785,2008-02-07 13:29:23,116.45617,39.93358
6785,2008-02-07 13:30:47,116.45522,39.9321
6785,2008-02-07 13:30:56,116.45507,39.93145
6785,2008-02-07 13:31:54,116.4552,39.92855
6785,2008-02-07 13:35:08,116.45572,39.9438
6785,2008-02-07 13:39:08,116.484,39.95795
6785,2008-02-07 13:41:34,116.49117,39.96313
6785,2008-02-07 13:41:39,116.4916,39.96308
6785,2008-02-07 13:41:50,116.49243,39.96267
6785,2008-02-07 13:42:28,116.49557,39.96343
6785,2008-02-07 13:42:35,116.49572,39.96345
6785,2008-02-07 13:44:44,116.49703,39.97032
6785,2008-02-07 13:45:24,116.49702,39.97535
6785,2008-02-07 13:45:27,116.49713,39.97543
6785,2008-02-07 13:45:30,116.49725,39.97547
6785,2008-02-07 13:45:57,116.49982,39.9755
6785,2008-02-07 13:46:00,116.49992,39.97535
6785,2008-02-07 13:46:22,116.49992,39.97352
6785,2008-02-07 13:46:25,116.50002,39.97347
6785,2008-02-07 13:47:16,116.5001,39.97347
6785,2008-02-07 13:48:09,116.4998,39.97353
6785,2008-02-07 13:48:40,116.49965,39.97518
6785,2008-02-07 13:48:43,116.49948,39.97525
6785,2008-02-07 13:49:05,116.49748,39.97528
6785,2008-02-07 13:49:11,116.49725,39.97522
6785,2008-02-07 13:50:30,116.49692,39.9752
6785,2008-02-07 13:51:13,116.49678,39.97065
6785,2008-02-07 13:51:16,116.49653,39.97062
6785,2008-02-07 13:51:40,116.49372,39.9707
6785,2008-02-07 13:51:45,116.49365,39.9707
6785,2008-02-07 13:51:45,116.49365,39.9707
6785,2008-02-07 13:52:55,116.48433,39.9708
6785,2008-02-07 13:53:01,116.48408,39.9709
6785,2008-02-07 13:53:19,116.48405,39.97092
6785,2008-02-07 13:53:22,116.4839,39.97095
6785,2008-02-07 13:53:25,116.48372,39.9709
6785,2008-02-07 13:53:28,116.4836,39.97085
6785,2008-02-07 13:53:41,116.48365,39.96947
6785,2008-02-07 13:54:17,116.48397,39.96493
6785,2008-02-07 13:54:29,116.48542,39.96397
6785,2008-02-07 13:54:51,116.48715,39.96285
6785,2008-02-07 13:54:51,116.48715,39.96285
6785,2008-02-07 13:55:14,116.48718,39.96282
