taxiid,timestamp,lat,log
8251,2008-02-05 09:31:21,116.31525,39.89956
8251,2008-02-05 09:32:50,116.31697,39.9061
8251,2008-02-05 09:35:41,116.32924,39.90869
8251,2008-02-05 09:36:31,116.32922,39.91135
8251,2008-02-05 09:38:32,116.33307,39.91558
8251,2008-02-05 09:40:22,116.33996,39.91707
8251,2008-02-05 09:40:43,116.34025,39.91781
8251,2008-02-05 09:45:14,116.35,39.92662
8251,2008-02-05 09:46:04,116.35085,39.92696
8251,2008-02-05 09:49:05,116.35417,39.93023
8251,2008-02-05 09:50:26,116.35416,39.93025
8251,2008-02-05 09:50:26,116.35416,39.93025
8251,2008-02-05 10:03:36,116.35414,39.93025
8251,2008-02-05 14:08:50,116.35515,39.93121
8251,2008-02-05 14:09:00,116.35515,39.93122
8251,2008-02-05 14:10:10,116.35515,39.9312
8251,2008-02-05 14:13:12,116.35326,39.92795
8251,2008-02-05 14:14:02,116.35023,39.92707
8251,2008-02-05 14:15:12,116.35002,39.93008
8251,2008-02-05 14:18:04,116.34997,39.91984
8251,2008-02-05 14:19:04,116.34994,39.91856
8251,2008-02-05 14:20:14,116.35036,39.91356
8251,2008-02-05 14:24:06,116.34454,39.8969
8251,2008-02-05 14:24:26,116.34202,39.89675
8251,2008-02-05 14:25:46,116.33657,39.89656
8251,2008-02-05 14:26:36,116.33766,39.89615
8251,2008-02-05 14:27:57,116.34199,39.89349
8251,2008-02-05 14:29:07,116.34177,39.88801
8251,2008-02-05 14:29:48,116.34424,39.8879
8251,2008-02-05 14:29:48,116.34424,39.8879
8251,2008-02-05 14:30:38,116.34643,39.88798
8251,2008-02-05 14:31:38,116.34713,39.88645
8251,2008-02-05 14:33:59,116.34499,39.88167
8251,2008-02-05 14:34:09,116.345,39.88168
8251,2008-02-05 14:35:19,116.34504,39.88171
8251,2008-02-05 14:36:20,116.34504,39.88171
8251,2008-02-05 14:39:11,116.34504,39.88171
8251,2008-02-05 14:39:11,116.34504,39.88171
8251,2008-02-05 14:40:21,116.34504,39.88171
8251,2008-02-05 14:42:02,116.34504,39.88171
8251,2008-02-05 14:44:12,116.34504,39.88171
8251,2008-02-05 14:45:22,116.34578,39.88059
8251,2008-02-05 14:45:23,116.34589,39.8806
8251,2008-02-05 14:49:14,116.35768,39.8768
8251,2008-02-05 14:50:24,116.35781,39.87264
8251,2008-02-05 14:52:35,116.35796,39.86931
8251,2008-02-05 14:54:16,116.3581,39.86679
8251,2008-02-05 14:55:26,116.36213,39.8654
8251,2008-02-05 14:56:27,116.36283,39.86682
8251,2008-02-05 14:58:17,116.36296,39.8672
8251,2008-02-05 14:58:17,116.36296,39.8672
8251,2008-02-05 14:58:17,116.36296,39.8672
8251,2008-02-05 15:05:58,116.36261,39.86686
8251,2008-02-05 15:06:20,116.36142,39.86682
8251,2008-02-05 15:07:00,116.36096,39.86683
8251,2008-02-05 15:13:27,116.35803,39.86979
8251,2008-02-05 15:15:34,116.35572,39.8703
8251,2008-02-05 15:22:36,116.35505,39.87023
8251,2008-02-05 15:32:47,116.35573,39.87032
8251,2008-02-05 15:35:39,116.35789,39.86994
8251,2008-02-05 15:37:48,116.35793,39.86948
8251,2008-02-05 15:40:41,116.35957,39.8678
8251,2008-02-05 15:42:50,116.37915,39.86966
8251,2008-02-05 15:45:43,116.41303,39.8697
8251,2008-02-05 15:47:52,116.43707,39.86978
8251,2008-02-05 15:50:45,116.43804,39.89484
8251,2008-02-05 15:52:54,116.45201,39.90281
8251,2008-02-05 15:55:47,116.48671,39.90644
8251,2008-02-05 15:57:56,116.51297,39.90661
8251,2008-02-05 16:00:48,116.55473,39.90809
8251,2008-02-05 16:02:57,116.58894,39.90803
8251,2008-02-05 16:05:50,116.6208,39.90538
8251,2008-02-05 16:07:59,116.6357,39.90525
8251,2008-02-05 16:13:01,116.65608,39.90698
8251,2008-02-05 16:15:54,116.65672,39.90203
8251,2008-02-05 16:18:03,116.65684,39.90004
8251,2008-02-05 16:21:56,116.65882,39.89805
